Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
dc831f98-80cb-393c-9a7d-3f6b191191aa,8da4b26f-9f34-3540-bb61-345286bc82f3,Gerardo48 Rentería94,M,GENERAL PRACTICE,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,32.665862,-117.097361,356
b7d92a08-c04a-3f56-9ebb-c653abbbe36f,23e9ce6e-0c86-3292-957b-8e33bfcaebd9,Vicente970 Kilback373,M,GENERAL PRACTICE,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,32.8153,-117.134993,9
f9ce07cd-24ba-3e00-8024-1957c8c18b51,589502e3-db49-31f2-a69e-b1d5813a447e,María Soledad68 Sánchez310,F,GENERAL PRACTICE,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,32.769495,-117.021923,99
2a6770c6-9073-354e-b107-528170be3880,1959ed2b-125f-3367-b17f-35c0a9fb1d3c,Leslie90 Crona259,F,GENERAL PRACTICE,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,39.50301500000001,-121.566473,166
74dba8cf-630e-3e7c-9882-57a91da4d2ab,0ec62ab3-0f56-3610-bec9-173dff179f60,Stefania815 Leffler128,F,GENERAL PRACTICE,1531 ESPLANADE,CHICO,CA,95926,39.769492,-121.92933700000002,23
1eb679d2-02db-3654-a2ea-df1c74871e47,90d24d77-5b76-333c-ae6b-232031d08d25,Berry486 Borer986,M,GENERAL PRACTICE,1420 S CENTRAL AVE,GLENDALE,CA,91204,34.181393,-118.24583,81
fee5ca6a-db17-3915-a84e-4f2bb1eced45,569679a4-a8d9-39cf-8f93-35653d50dfed,Reynaldo722 Ebert178,M,GENERAL PRACTICE,1425 S MAIN STREET,WALNUT CREEK,CA,94596,37.902666,-122.040479,30
4e9c1ff6-9df3-315a-a918-459884b97ec8,7e32d373-72e2-3b28-abf5-663621aca068,Elinore878 Mosciski958,F,GENERAL PRACTICE,1303 E HERNDON AVE,FRESNO,CA,93710,36.782674,-119.794492,10
974aeabe-a4b2-3343-a157-1b9b1dd91982,2deeb7c4-7750-3077-ad6e-5bbbb8efb261,Reinaldo138 Zieme486,M,GENERAL PRACTICE,1812 VERDUGO BLVD,GLENDALE,CA,91209,34.181393,-118.24583,19
fc55e9cd-37cc-366c-b96a-430702fcb58a,3478468a-d2e3-301f-8ce6-068044353fb0,Heriberto162 Smitham825,M,GENERAL PRACTICE,4002 VISTA WAY,OCEANSIDE,CA,92056,33.164261,-117.169992,91
92c20475-20b8-38d5-83db-2085a371c0e8,7dbe8a71-ceef-3e3e-b99e-fc3d1b5921a1,Betsey110 Kemmer137,F,GENERAL PRACTICE,6245 DE LONGPRE AVE,HOLLYWOOD,CA,90028,34.088267,-118.37183,7
6daca449-256d-359d-9475-4526234326cf,2486b094-3310-3bfa-98d9-0ba6437782c5,Samuel331 Girón243,M,GENERAL PRACTICE,9961 SIERRA AVE,FONTANA,CA,92335,34.108793,-117.462685,8
2195f4f6-e109-331b-8bd7-41e93274c7f1,44775a1f-e761-3ec7-aa7d-45d55684a9e5,Normand813 Schultz619,M,GENERAL PRACTICE,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,37.902666,-122.040479,99
1f41ac45-39a5-3440-90ea-94c19c93db07,259371f6-1d98-3729-8003-f6ca1c5724c5,Blanca837 Rivero165,F,GENERAL PRACTICE,300 CANAL STREET,KING CITY,CA,93930,36.208771,-121.152411,70
e05b549c-5968-30b2-bde1-9d1d2eaa3df8,cfcb347c-b215-35cc-b9b1-02381b5c4ee4,Boris111 Lynch190,M,GENERAL PRACTICE,1050 LINDEN AVE,LONG BEACH,CA,90813,33.809102,-118.155327,1
248a7d2c-647c-34e9-885e-795ac6954892,57f46fca-04bd-3d5b-88cc-338d80731cd2,Dillon740 Goyette777,M,GENERAL PRACTICE,150 WEST ROUTE 66,GLENDORA,CA,91740,34.145433000000004,-117.846961,1
85c3509a-e174-348c-b538-b9ae345421ee,fe96464c-8f14-3dfb-be97-1163c69cb2cb,Basil991 Bahringer146,M,GENERAL PRACTICE,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,32.62767,-117.01517,177
580e4066-ee10-375e-a951-074043045289,6b4e2d68-92fd-3716-8d42-af98aa519894,Jaime666 Rosado690,M,GENERAL PRACTICE,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,33.855497,-117.760071,78
